mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_class_weight	param_max_depth	param_max_features	param_min_samples_leaf	param_min_samples_split	param_n_estimators	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score
0.08354668617248535	0.00621059311638752	0.004242897033691406	0.0016467299769102035			sqrt	1	2	25	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 25}	0.4520278529220407	0.508712715855573	0.5319890224394253	0.6428836863619473	0.510815395869325	0.5292857346896622	0.06268171217205616	2119
0.17042980194091797	0.01503026418274135	0.0057332515716552734	0.004289384955302338			sqrt	1	2	50	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}	0.4837206509337657	0.5496196111580728	0.5171450000765334	0.5824033867177165	0.5203393939393939	0.5306456085650965	0.03325452303632936	2095
0.3300449848175049	0.00723369496821221	0.006313848495483399	0.0016632262882925418			sqrt	1	2	100	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}	0.545299707743821	0.5737569517097076	0.5346780594854555	0.5674392312040701	0.49465811965811973	0.5431664139602348	0.028123329734978945	1647
0.4940484046936035	0.03654536192797387	0.009427404403686524	0.0024071079641306173			sqrt	1	2	150	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}	0.5686176714492661	0.5479287119999022	0.5406989025118244	0.5941333333333334	0.536431131592422	0.5575619501773496	0.02136992366484453	926
0.6767898559570312	0.03772402198018737	0.011986160278320312	0.0024928697008630577			sqrt	1	2	200	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}	0.5541223803518884	0.539301954762889	0.5434080773820741	0.6005420054200542	0.5534391534391534	0.5581627142712118	0.021945697538940226	909
1.0470587730407714	0.047777863502018535	0.017026567459106447	0.003265521966841075			sqrt	1	2	300	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}	0.5541223803518884	0.5168323739752311	0.5824033867177165	0.5449373737373737	0.5521043771043772	0.5500799783773174	0.020962306703369845	1330
1.3023712158203125	0.10793843426130614	0.023955345153808594	0.003592665301370938			sqrt	1	2	400	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}	0.5629274955442795	0.5409907552764696	0.5763324299909666	0.5608294930875576	0.536	0.5554160347798546	0.014888211830945065	1021
1.6342928409576416	0.06470964382179852	0.024363374710083006	0.0032176795115550277			sqrt	1	2	500	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}	0.5565421245421245	0.5565421245421245	0.5914703850260662	0.5279132791327914	0.5068771218827209	0.5478690070251655	0.028740535213350613	1418
1.9651456356048584	0.0639071193905865	0.033197212219238284	0.003644721231781079			sqrt	1	2	600	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 600}	0.565149136577708	0.5629274955442795	0.5824033867177165	0.5037037037037037	0.49193540011424414	0.5412238245315304	0.03626660856009518	1747
0.08871722221374512	0.006284230928948599	0.0028237819671630858	0.002043517591155242			sqrt	1	5	25	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 25}	0.5132754342431762	0.5775896234912629	0.5809983896940418	0.5368773946360154	0.536431131592422	0.5490343947313836	0.026162707091460336	1374
0.170969820022583	0.011838876140488662	0.00425877571105957	0.0019306471766801525			sqrt	1	5	50	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}	0.5506202480992397	0.5737569517097076	0.49947089947089945	0.49947089947089945	0.5521228545618789	0.535088370662525	0.030212184716771343	1981
0.3266317844390869	0.005937614220223277	0.00426335334777832	0.0002575480170742383			sqrt	1	5	100	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}	0.5306551372125142	0.5737569517097076	0.5521228545618789	0.5733333333333334	0.6155015388480624	0.5690739631330992	0.028138723034954637	468
0.4797412395477295	0.012539568281892365	0.008885574340820313	0.001792931654192001			sqrt	1	5	150	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150}	0.5364527945173106	0.5332404863654864	0.5521228545618789	0.5914703850260662	0.5941333333333334	0.5614839707608151	0.026370629906361954	756
0.6387777328491211	0.004317139926407986	0.009847021102905274	0.002174610376429537			sqrt	1	5	200	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}	0.5071878940731399	0.5332404863654864	0.5763324299909666	0.5346780594854555	0.5941333333333334	0.5491144406496764	0.0315776708318233	1370
0.9770457744598389	0.02945149343853133	0.01443033218383789	0.002283020954434015			sqrt	1	5	300	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}	0.5219817440383759	0.5325714285714286	0.597037037037037	0.5203393939393939	0.5704594017094017	0.5484778010591275	0.030291958815852952	1395
1.3232348918914796	0.05510685165752951	0.01996917724609375	0.005106330033179075			sqrt	1	5	400	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 400}	0.539301954762889	0.5494002060931195	0.5763324299909666	0.5286302175191064	0.5617777777777778	0.551088517228772	0.016719235016781818	1261
1.6327554702758789	0.04058529694211758	0.025526905059814455	0.005031339752890483			sqrt	1	5	500	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}	0.5086007326007326	0.565149136577708	0.6113606098176976	0.5203393939393939	0.5440445898461165	0.5498988925563297	0.0363969434591792	1336
1.9408166408538818	0.03880755800438014	0.027081966400146484	0.003630552548882269			sqrt	1	5	600	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 600}	0.5479287119999022	0.5332404863654864	0.601980438612478	0.5203393939393939	0.5068771218827209	0.5420732305599963	0.03290076999042932	1710
0.08290514945983887	0.006656611870125164	0.002017641067504883	0.00044562858905316025			sqrt	1	10	25	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 25}	0.5506202480992397	0.607788005248567	0.5388522777849564	0.5357009183096141	0.48491586173379503	0.5435754622352345	0.039238107325621906	1639
0.1654721736907959	0.005412726495620693	0.003815364837646484	0.0016825218985828143			sqrt	1	10	50	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}	0.5541223803518884	0.5645022350530825	0.5613472886247147	0.5184476342371079	0.5434080773820741	0.5483655231297735	0.016623582383304695	1400
0.32178869247436526	0.01398029756287034	0.004473447799682617	0.0003007120525380065			sqrt	1	10	100	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}	0.5828075150655795	0.5686176714492661	0.5507246376811594	0.5406989025118244	0.5369121312666105	0.555952171594888	0.017344375594019076	1002
0.4934328556060791	0.022799442441655094	0.008288383483886719	0.002357873707735724			sqrt	1	10	150	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 150}	0.5736653635813299	0.5250434604765313	0.6158730158730159	0.5346780594854555	0.5451923076923078	0.5588904414217282	0.03281709475782519	878
0.6307150363922119	0.03648908237333021	0.010381984710693359	0.002348856568373486			sqrt	1	10	200	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}	0.5645022350530825	0.5409907552764696	0.6526580459770115	0.5642528049471155	0.536	0.5716807682507359	0.042140288572793304	376
0.9351568222045898	0.023358710236249244	0.015861892700195314	0.0023220769676915317			sqrt	1	10	300	{'class_weight': None, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}	0.5506202480992397	0.5565421245421245	0.6295019157088123	0.558540723101586	0.5700991847120528	0.573060839232763	0.02891936496256734	334
